Part_idx,resume,contains_pic,time_text,time_pic
5.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,24.043480000000002,0.0
5.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,48.31716,0.0
5.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,14.400160000000001,0.0
5.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,37.480559999999976,0.0
5.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,13.33034,0.0
5.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,4.6897,0.0
5.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,71.87678000000002,0.0
5.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,87.4049199999999,0.0
5.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,87.11789999999996,0.0
5.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,50.00662,0.0
6.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,50.5557,1.03126
6.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,38.86080000000002,0.64208
6.0,UNQUALIFIED_NOPIC_GOODSORT_KARE.PNG,0.0,12.599359999999999,0.0
6.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,41.83455999999998,0.66992
6.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,16.85913999999999,0.48242
6.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,22.06368,0.0
6.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,15.95196,0.0
6.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,38.25842000000001,0.0
6.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,34.275279999999995,0.0
6.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,39.573440000000005,0.0
6.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,34.61659999999998,0.0
6.0,QUALIFIED_PIC_BADSORT_DAVID.PNG,1.0,48.91595999999996,0.4956
7.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,52.370920000000034,1.3543
7.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,68.84845999999999,0.0
7.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,11.9227,0.18756
7.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,102.60275999999992,0.0
7.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,12.926299999999996,0.8980199999999999
7.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,23.646019999999993,0.0
7.0,UNQUALIFIED_PIC_BADSORT_TIAN.PNG,1.0,17.228719999999996,0.5498000000000001
7.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,9.723859999999998,0.0
7.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,79.39229999999995,1.1519000000000001
7.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,64.82602000000001,0.5484
7.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,50.13863999999999,0.0
7.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,71.46795999999993,0.0
8.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,95.51398000000006,2.0309
8.0,QUALIFIED_NOPIC_BADSORT_VIKTOR.PNG,0.0,139.84695999999994,0.0
8.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,8.863019999999993,0.56324
8.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,68.48701999999997,0.0
8.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,25.981660000000016,0.60254
8.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,16.329859999999996,0.0
8.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,23.053979999999996,0.0
8.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,43.93900000000001,0.0
8.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,39.60276,0.0
8.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,73.67884000000006,1.1927599999999998
8.0,QUALIFIED_PIC_BADSORT_RAHUL.PNG,1.0,57.2443,0.30786
8.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,90.62069999999994,0.0
9.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,17.33518,0.0
9.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,38.24557999999997,0.72332
9.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,4.94284,0.0
9.0,UNQUALIFIED_NOPIC_GOODSORT_HANS.PNG,0.0,5.21114,0.0
9.0,UNQUALIFIED_PIC_ BADSORT_MARIA.PNG,1.0,3.4662000000000006,0.0
9.0,UNQUALIFIED_NOPIC_GOODSORT_LEA.PNG,0.0,10.525000000000002,0.0
9.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,9.164000000000007,0.0
9.0,UNQUALIFIED_PIC_ BADSORT_LEILA.PNG,1.0,6.30994,0.17376
9.0,QUALIFIED_PIC_ GOODSORT_HANNAH.PNG,1.0,27.462220000000016,0.0
9.0,QUALIFIED_NOPIC_ GOODSORT_AISHA.PNG,0.0,20.32294,0.0
9.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,18.861759999999997,0.0
10.0,QUALIFIED_PIC_GOODSORT_EMILIA.PNG,1.0,22.609640000000002,0.0
10.0,QUALIFIED_PIC_BADSORT_VIKTOR.PNG,1.0,45.66797999999997,0.0
10.0,UNQUALIFIED_PIC_GOODSORT_KARE.PNG,1.0,27.300380000000025,0.0
10.0,UNQUALIFIED_PIC_GOODSORT_HANS.PNG,1.0,20.51076,0.88428
10.0,UNQUALIFIED_NOPIC_ BADSORT_MARIA.PNG,0.0,10.460760000000006,0.0
10.0,UNQUALIFIED_PIC_GOODSORT_LEA.PNG,1.0,33.466960000000014,0.79054
10.0,UNQUALIFIED_NOPIC_BADSORT_TIAN.PNG,0.0,19.434800000000003,0.0
10.0,UNQUALIFIED_NOPIC_ BADSORT_LEILA.PNG,0.0,17.640180000000004,0.0
10.0,QUALIFIED_NOPIC_ GOODSORT_HANNAH.PNG,0.0,41.41089999999997,0.0
10.0,QUALIFIED_PIC_ GOODSORT_AISHA.PNG,1.0,26.968280000000007,0.64282
10.0,QUALIFIED_NOPIC_BADSORT_RAHUL.PNG,0.0,45.9308,0.0
10.0,QUALIFIED_NOPIC_BADSORT_DAVID.PNG,0.0,70.85699999999996,0.0
